Heading,Company,location,description,Vacancy Link,Experience Needed,Salary,skills
Ui Developer,Oracle,Chennai,"Classic ASP, .NET, MVC, .NET Core, JavaScript, Bootstrap, Web API skills are good to ha...",https://www.naukri.com/job-listings-ui-developer-oracle-pune-chennai-bangalore-bengaluru-mumbai-all-areas-1-to-5-years-020523004595,1-5 Yrs,Not disclosed,"['CSS', 'UI Development', 'HTML', 'javascript', 'cs', 'ui', 'bootstrap', 'blazor']"
Professional / Technical Fixed Term,Tata Motors Finance,Chennai,"Experience in interface of SAP, p-first system, MS Excel . Hands on experience on Micro...",https://www.naukri.com/job-listings-professional-technical-fixed-term-tata-motors-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-4-years-270423502723,1-4 Yrs,Not disclosed,"['technical', 'translation', 'analytical skills', 'excel', 'fix', 'analytical', 'powerpoint', 'sap']"
Data Analyst,Quickxpert Infotech,Chennai,We have immediate openings for Data Analyst Trainees for our clients. Interested candid...,https://www.naukri.com/job-listings-data-analyst-quickxpert-infotech-kolkata-indore-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-0-to-5-years-200722010262,0-5 Yrs,Not disclosed,"['SQL', 'python', 'c++', 'data analysis', 'dbms', 'c', 'data', 'excel']"
Associate Tech Specialist,Essenware Private Limted,Chennai,Candidate should be a self- . Experience with technical implementation of Oracle Fusion...,https://www.naukri.com/job-listings-associate-tech-specialist-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-2-years-240423500749,1-2 Yrs,Not disclosed,"['fusion', 'oracle', 'application', 'application development', 'oracle database', 'crm', 'cloud', 'sales']"
Software Development Engineer in Test (SDET),Browserstack,Chennai,. 1- 3 years of experience writing automated tests using automation frameworks and tool...,https://www.naukri.com/job-listings-software-development-engineer-in-test-sdet-browserstack-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-3-years-230223500674,1-3 Yrs,Not disclosed,"['quality assurance', 'automation', 'test cases', 'regression', 'software development', 'regression testing', 'ruby', 'medical insurance']"
Software Engineer,Essenware Private Limted,Chennai,. Should know how to operate computer . Candidate should be proficient in English to go...,https://www.naukri.com/job-listings-software-engineer-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-3-years-210423502857,1-3 Yrs,Not disclosed,"['software', 'software engineering', 'excel', 'Saving']"
Associate Tech Specialist,Essenware Private Limted,Chennai,Develop UI prototypes for website in compliance with conventions followed by the team ....,https://www.naukri.com/job-listings-associate-tech-specialist-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-2-years-190423500274,1-2 Yrs,Not disclosed,"['Backend', 'DOM', 'Data management', 'Architecture', 'Event management', 'Content management system', 'CMS', 'Web designing']"
Senior Business Analyst,IGT Solutions,Chennai,"BE / B Tech in Computer Science, Information Technology or relevant professional experi...",https://www.naukri.com/job-listings-senior-business-analyst-igt-solutions-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-5-years-180423500297,1-5 Yrs,Not disclosed,"['project', 'information technology', 'technology', 'functional', 'sdlc', 'change management', 'project management', 'software testing']"
Senior Business Analyst,IGT Solutions,Chennai,Analyze / understand all data and information required for new business processesVery p...,https://www.naukri.com/job-listings-senior-business-analyst-igt-solutions-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-5-years-140423500583,1-5 Yrs,Not disclosed,"['business analysis', 'ms office', 'senior', 'change', 'application support', 'system', 'system analysis', 'microsoft']"
Software Engineer,Infineon,Chennai,Exposure to Unix\/ Linux Platforms . . Preferably having working knowledge in Perl\/ Py...,https://www.naukri.com/job-listings-software-engineer-infineon-technologies-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-3-years-140223500517,1-3 Yrs,Not disclosed,"['object', 'coding', 'xml', 'data structures', 'perl', 'data', 'software engineering', 'programming']"
Php Laravel Developer,Aspia Infotech,Chennai,Previous working experience as a PHP / Laravel developer . BS / MS degree in Computer S...,https://www.naukri.com/job-listings-php-laravel-developer-aspia-infotech-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-4-years-100423501289,1-4 Yrs,Not disclosed,"['sql', 'front end', 'development', 'rdbms', 'javascript', 'automation', 'jquery', 'end']"
DevOps Engineer,Essenware Private Limted,Chennai,Monitoring and measuring customer experience and KPIs . Setting up tools and required i...,https://www.naukri.com/job-listings-devops-engineer-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-4-years-310323502218,1-4 Yrs,Not disclosed,"['improvement', 'vulnerability assessment', 'continuous improvement', 'deployment', 'assessment', 'integration', 'root cause analysis', 'troubleshooting']"
Associate Tech Specialist,Essenware Private Limted,Chennai,Minimum 5 years experience in Data Warehousing / BI domain . Banking and insurance doma...,https://www.naukri.com/job-listings-associate-tech-specialist-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-2-years-310323502202,1-2 Yrs,Not disclosed,"['query', 'sql', 'data', 'estimation', 'report studio', 'tableau', 'data warehousing', 'drilling']"
Associate Tech Specialist,Essenware Private Limted,Chennai,TO contribute TO a project ON a given technology OR domain AND remain abreast WITH deve...,https://www.naukri.com/job-listings-associate-tech-specialist-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-2-years-310323502200,1-2 Yrs,Not disclosed,"['project', 'technical analysis', 'mentoring', 'technology', 'matrix', 'project implementation', 'technology management', 'production support']"
Associate Tech Specialist,Essenware Private Limted,Chennai,Required Skills Networking: Experience in validating Networking (TCP / UDP) Protocols G...,https://www.naukri.com/job-listings-associate-tech-specialist-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-2-years-310323502196,1-2 Yrs,Not disclosed,"['networking', 'automation', 'linux', 'redhat linux', 'unix', 'technical analysis', 'agile', 'git']"
Associate Tech Specialist,Essenware Private Limted,Chennai,6+ years of experience in consulting services with consistent record to creatively assi...,https://www.naukri.com/job-listings-associate-tech-specialist-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-2-years-310323502195,1-2 Yrs,Not disclosed,"['partner management', 'research', 'business analysis', 'agile', 'production', 'consulting', 'devops', 'it services']"
Associate Tech Specialist,Essenware Private Limted,Chennai,"Exposure to Terraform and Cloud Formations Exposure to GitLab CI, Elastic Search, Cogni...",https://www.naukri.com/job-listings-associate-tech-specialist-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-2-years-310323502194,1-2 Yrs,Not disclosed,"['cloud', 'subversion', 'aws', 'python', 'architecture', 'telecom', 'technical analysis', 'management']"
Sr. Software Engineer - Frontend Developer,Essenware Private Limted,Chennai,". Bachelors degree in science / engineering/technology, or equivalent work experience ....",https://www.naukri.com/job-listings-sr-software-engineer-frontend-developer-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-3-years-300323501854,1-3 Yrs,Not disclosed,"['software engineering', 'development', 'management', 'software', 'technology', 'agile', 'technology management', 'web technologies']"
Solution Designer,Essenware Private Limted,Chennai,Guide team during code reviews so as to ensure good quality code,https://www.naukri.com/job-listings-solution-designer-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-4-years-210423502858,1-4 Yrs,Not disclosed,"['solution design', 'system architecture', 'architecture', 'system design', 'service quality', 'quality', 'technology management', 'system']"
Associate Solution Designer,Essenware Private Limted,Chennai,Remain actively engaged with client s DMO s for complex technical POC s required for in...,https://www.naukri.com/job-listings-associate-solution-designer-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-3-years-210423502782,1-3 Yrs,Not disclosed,"['troubleshooting', 'design', 'solution design', 'customer management', 'production', 'software testing', 'monitoring', 'management']"
Ui Developer,Oracle,Chennai,"Classic ASP, .NET, MVC, .NET Core, JavaScript, Bootstrap, Web API skills are good to ha...",https://www.naukri.com/job-listings-ui-developer-oracle-pune-chennai-bangalore-bengaluru-mumbai-all-areas-1-to-5-years-020523004595,1-5 Yrs,Not disclosed,"['CSS', 'UI Development', 'HTML', 'javascript', 'cs', 'ui', 'bootstrap', 'blazor']"
Professional / Technical Fixed Term,Tata Motors Finance,Chennai,"Experience in interface of SAP, p-first system, MS Excel . Hands on experience on Micro...",https://www.naukri.com/job-listings-professional-technical-fixed-term-tata-motors-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-4-years-270423502723,1-4 Yrs,Not disclosed,"['technical', 'translation', 'analytical skills', 'excel', 'fix', 'analytical', 'powerpoint', 'sap']"
Data Analyst,Quickxpert Infotech,Chennai,We have immediate openings for Data Analyst Trainees for our clients. Interested candid...,https://www.naukri.com/job-listings-data-analyst-quickxpert-infotech-kolkata-indore-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-0-to-5-years-200722010262,0-5 Yrs,Not disclosed,"['SQL', 'python', 'c++', 'data analysis', 'dbms', 'c', 'data', 'excel']"
Associate Tech Specialist,Essenware Private Limted,Chennai,Candidate should be a self- . Experience with technical implementation of Oracle Fusion...,https://www.naukri.com/job-listings-associate-tech-specialist-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-2-years-240423500749,1-2 Yrs,Not disclosed,"['fusion', 'oracle', 'application', 'application development', 'oracle database', 'crm', 'cloud', 'sales']"
Software Development Engineer in Test (SDET),Browserstack,Chennai,. 1- 3 years of experience writing automated tests using automation frameworks and tool...,https://www.naukri.com/job-listings-software-development-engineer-in-test-sdet-browserstack-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-3-years-230223500674,1-3 Yrs,Not disclosed,"['quality assurance', 'automation', 'test cases', 'regression', 'software development', 'regression testing', 'ruby', 'medical insurance']"
Software Engineer,Essenware Private Limted,Chennai,. Should know how to operate computer . Candidate should be proficient in English to go...,https://www.naukri.com/job-listings-software-engineer-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-3-years-210423502857,1-3 Yrs,Not disclosed,"['software', 'software engineering', 'excel', 'Saving']"
Associate Tech Specialist,Essenware Private Limted,Chennai,Develop UI prototypes for website in compliance with conventions followed by the team ....,https://www.naukri.com/job-listings-associate-tech-specialist-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-2-years-190423500274,1-2 Yrs,Not disclosed,"['Backend', 'DOM', 'Data management', 'Architecture', 'Event management', 'Content management system', 'CMS', 'Web designing']"
Senior Business Analyst,IGT Solutions,Chennai,"BE / B Tech in Computer Science, Information Technology or relevant professional experi...",https://www.naukri.com/job-listings-senior-business-analyst-igt-solutions-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-5-years-180423500297,1-5 Yrs,Not disclosed,"['project', 'information technology', 'technology', 'functional', 'sdlc', 'change management', 'project management', 'software testing']"
Senior Business Analyst,IGT Solutions,Chennai,Analyze / understand all data and information required for new business processesVery p...,https://www.naukri.com/job-listings-senior-business-analyst-igt-solutions-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-5-years-140423500583,1-5 Yrs,Not disclosed,"['business analysis', 'ms office', 'senior', 'change', 'application support', 'system', 'system analysis', 'microsoft']"
Software Engineer,Infineon,Chennai,Exposure to Unix\/ Linux Platforms . . Preferably having working knowledge in Perl\/ Py...,https://www.naukri.com/job-listings-software-engineer-infineon-technologies-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-3-years-140223500517,1-3 Yrs,Not disclosed,"['object', 'coding', 'xml', 'data structures', 'perl', 'data', 'software engineering', 'programming']"
Php Laravel Developer,Aspia Infotech,Chennai,Previous working experience as a PHP / Laravel developer . BS / MS degree in Computer S...,https://www.naukri.com/job-listings-php-laravel-developer-aspia-infotech-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-4-years-100423501289,1-4 Yrs,Not disclosed,"['sql', 'front end', 'development', 'rdbms', 'javascript', 'automation', 'jquery', 'end']"
DevOps Engineer,Essenware Private Limted,Chennai,Monitoring and measuring customer experience and KPIs . Setting up tools and required i...,https://www.naukri.com/job-listings-devops-engineer-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-4-years-310323502218,1-4 Yrs,Not disclosed,"['improvement', 'vulnerability assessment', 'continuous improvement', 'deployment', 'assessment', 'integration', 'root cause analysis', 'troubleshooting']"
Associate Tech Specialist,Essenware Private Limted,Chennai,Minimum 5 years experience in Data Warehousing / BI domain . Banking and insurance doma...,https://www.naukri.com/job-listings-associate-tech-specialist-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-2-years-310323502202,1-2 Yrs,Not disclosed,"['query', 'sql', 'data', 'estimation', 'report studio', 'tableau', 'data warehousing', 'drilling']"
Associate Tech Specialist,Essenware Private Limted,Chennai,TO contribute TO a project ON a given technology OR domain AND remain abreast WITH deve...,https://www.naukri.com/job-listings-associate-tech-specialist-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-2-years-310323502200,1-2 Yrs,Not disclosed,"['project', 'technical analysis', 'mentoring', 'technology', 'matrix', 'project implementation', 'technology management', 'production support']"
Associate Tech Specialist,Essenware Private Limted,Chennai,Required Skills Networking: Experience in validating Networking (TCP / UDP) Protocols G...,https://www.naukri.com/job-listings-associate-tech-specialist-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-2-years-310323502196,1-2 Yrs,Not disclosed,"['networking', 'automation', 'linux', 'redhat linux', 'unix', 'technical analysis', 'agile', 'git']"
Associate Tech Specialist,Essenware Private Limted,Chennai,6+ years of experience in consulting services with consistent record to creatively assi...,https://www.naukri.com/job-listings-associate-tech-specialist-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-2-years-310323502195,1-2 Yrs,Not disclosed,"['partner management', 'research', 'business analysis', 'agile', 'production', 'consulting', 'devops', 'it services']"
Associate Tech Specialist,Essenware Private Limted,Chennai,"Exposure to Terraform and Cloud Formations Exposure to GitLab CI, Elastic Search, Cogni...",https://www.naukri.com/job-listings-associate-tech-specialist-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-2-years-310323502194,1-2 Yrs,Not disclosed,"['cloud', 'subversion', 'aws', 'python', 'architecture', 'telecom', 'technical analysis', 'management']"
Sr. Software Engineer - Frontend Developer,Essenware Private Limted,Chennai,". Bachelors degree in science / engineering/technology, or equivalent work experience ....",https://www.naukri.com/job-listings-sr-software-engineer-frontend-developer-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-3-years-300323501854,1-3 Yrs,Not disclosed,"['software engineering', 'development', 'management', 'software', 'technology', 'agile', 'technology management', 'web technologies']"
Solution Designer,Essenware Private Limted,Chennai,Guide team during code reviews so as to ensure good quality code,https://www.naukri.com/job-listings-solution-designer-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-4-years-210423502858,1-4 Yrs,Not disclosed,"['solution design', 'system architecture', 'architecture', 'system design', 'service quality', 'quality', 'technology management', 'system']"
Associate Solution Designer,Essenware Private Limted,Chennai,Remain actively engaged with client s DMO s for complex technical POC s required for in...,https://www.naukri.com/job-listings-associate-solution-designer-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-3-years-210423502782,1-3 Yrs,Not disclosed,"['troubleshooting', 'design', 'solution design', 'customer management', 'production', 'software testing', 'monitoring', 'management']"
Ui Developer,Oracle,Chennai,"Classic ASP, .NET, MVC, .NET Core, JavaScript, Bootstrap, Web API skills are good to ha...",https://www.naukri.com/job-listings-ui-developer-oracle-pune-chennai-bangalore-bengaluru-mumbai-all-areas-1-to-5-years-020523004595,1-5 Yrs,Not disclosed,"['CSS', 'UI Development', 'HTML', 'javascript', 'cs', 'ui', 'bootstrap', 'blazor']"
Professional / Technical Fixed Term,Tata Motors Finance,Chennai,"Experience in interface of SAP, p-first system, MS Excel . Hands on experience on Micro...",https://www.naukri.com/job-listings-professional-technical-fixed-term-tata-motors-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-4-years-270423502723,1-4 Yrs,Not disclosed,"['technical', 'translation', 'analytical skills', 'excel', 'fix', 'analytical', 'powerpoint', 'sap']"
Data Analyst,Quickxpert Infotech,Chennai,We have immediate openings for Data Analyst Trainees for our clients. Interested candid...,https://www.naukri.com/job-listings-data-analyst-quickxpert-infotech-kolkata-indore-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-0-to-5-years-200722010262,0-5 Yrs,Not disclosed,"['SQL', 'python', 'c++', 'data analysis', 'dbms', 'c', 'data', 'excel']"
Associate Tech Specialist,Essenware Private Limted,Chennai,Candidate should be a self- . Experience with technical implementation of Oracle Fusion...,https://www.naukri.com/job-listings-associate-tech-specialist-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-2-years-240423500749,1-2 Yrs,Not disclosed,"['fusion', 'oracle', 'application', 'application development', 'oracle database', 'crm', 'cloud', 'sales']"
Software Development Engineer in Test (SDET),Browserstack,Chennai,. 1- 3 years of experience writing automated tests using automation frameworks and tool...,https://www.naukri.com/job-listings-software-development-engineer-in-test-sdet-browserstack-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-3-years-230223500674,1-3 Yrs,Not disclosed,"['quality assurance', 'automation', 'test cases', 'regression', 'software development', 'regression testing', 'ruby', 'medical insurance']"
Software Engineer,Essenware Private Limted,Chennai,. Should know how to operate computer . Candidate should be proficient in English to go...,https://www.naukri.com/job-listings-software-engineer-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-3-years-210423502857,1-3 Yrs,Not disclosed,"['software', 'software engineering', 'excel', 'Saving']"
Associate Tech Specialist,Essenware Private Limted,Chennai,Develop UI prototypes for website in compliance with conventions followed by the team ....,https://www.naukri.com/job-listings-associate-tech-specialist-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-2-years-190423500274,1-2 Yrs,Not disclosed,"['Backend', 'DOM', 'Data management', 'Architecture', 'Event management', 'Content management system', 'CMS', 'Web designing']"
Senior Business Analyst,IGT Solutions,Chennai,"BE / B Tech in Computer Science, Information Technology or relevant professional experi...",https://www.naukri.com/job-listings-senior-business-analyst-igt-solutions-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-5-years-180423500297,1-5 Yrs,Not disclosed,"['project', 'information technology', 'technology', 'functional', 'sdlc', 'change management', 'project management', 'software testing']"
Senior Business Analyst,IGT Solutions,Chennai,Analyze / understand all data and information required for new business processesVery p...,https://www.naukri.com/job-listings-senior-business-analyst-igt-solutions-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-5-years-140423500583,1-5 Yrs,Not disclosed,"['business analysis', 'ms office', 'senior', 'change', 'application support', 'system', 'system analysis', 'microsoft']"
